UserID,Booking_Date,Time,No.Guests
lbro,2025-12-25,6pm,3
lbro,2025-12-24,6pm,3
abcd,2025-12-12,2pm,1
lbro,2025-12-28,2pm,2
lbro,2025-12-30,6pm,1
lbro,2026-01-02,6pm,3
lbro,2026-01-03,2pm,1
lbro,2026-01-04,6pm,2
lbro,2026-01-06,2pm,1
lbro,2026-01-06,2pm,1
lbro,2026-01-06,2pm,1
oliv,2026-01-06,2pm,1
luca,2026-01-06,6pm,3
jane,2026-01-07,2pm,2
alex,2026-01-09,6pm,3
mark,2026-01-10,2pm,1
sara,2026-01-10,6pm,2
matt,2026-01-11,2pm,1
ella,2026-01-12,6pm,3
hugo,2026-01-12,2pm,2
tomh,2026-01-13,2pm,2
alex,2026-01-14,2pm,1
mark,2026-01-14,6pm,3
sara,2026-01-15,2pm,1
emil,2026-01-15,6pm,2
lbro,2026-01-16,2pm,3
luca,2026-01-16,6pm,1
matt,2026-01-17,2pm,2
zoey,2026-01-18,2pm,1
emil,2026-01-18,6pm,3
lbro,2026-01-19,6pm,2
tomh,2026-01-19,2pm,2
ella,2026-01-20,2pm,1
hugo,2026-01-21,6pm,2
jane,2026-01-21,2pm,1
mark,2026-01-22,6pm,2
sara,2026-01-22,2pm,3
alex,2026-01-23,6pm,1
lbro,2026-01-24,2pm,3
luca,2026-01-24,6pm,2
matt,2026-01-25,2pm,3
emil,2026-01-25,6pm,1
ella,2026-01-26,2pm,2
hugo,2026-01-26,6pm,3
nina,2026-01-28,6pm,1
matt,2026-01-29,2pm,1
sara,2026-01-30,2pm,3
jane,2026-01-31,6pm,2
nina,2026-01-31,6pm,3
