GameID,Rental_Date,Return_Date,Rental_Customer_ID
bg01,2025-11-28,2025-12-02,lbro
bg02,2025-11-29,2025-12-26,abcd
smo01,2025-11-30,2025-12-08,mark
bg03,2025-12-01,2025-12-05,sara
bot01,2025-12-01,-,alex
bg09,2025-12-02,2025-12-06,lbro
bg01,2025-12-03,-,tomh
rdr02,2025-12-03,2025-12-10,emil
bg02,2025-12-04,2025-12-08,noah
eld01,2025-12-04,-,luca
bg03,2025-12-05,2025-12-09,matt
gow01,2025-12-05,-,ryan
bg01,2025-12-06,2025-12-10,ella
mcw01,2025-12-06,-,noah
bg09,2025-12-07,2025-12-11,nina
hzd01,2025-12-07,-,luca
bg02,2025-12-08,2025-12-12,hugo
pfm01,2025-12-08,-,liam
bg01,2025-12-09,2025-12-13,jane
hal01,2025-12-09,-,zoey
bg07,2025-12-10,2025-12-12,mark
tw301,2025-12-10,-,sara
bg04,2025-12-11,2025-12-13,matt
bg05,2025-12-11,-,alex
bg06,2025-12-12,2025-12-13,nina
bg01,2025-12-12,-,lbro
smo01,2025-12-12,-,mark
bg02,2025-12-12,2025-12-13,abcd
rdr02,2025-12-12,-,emil
bg03,2025-12-12,2025-12-13,sara
eld01,2025-12-12,-,luca
bg09,2025-12-12,-,noah
gow01,2025-12-12,2025-12-13,ryan
bg01,2025-12-12,-,ella
mcw01,2025-12-12,2025-12-13,noah
bg02,2025-12-13,-,hugo
pfm01,2025-12-13,2025-12-13,liam
bg01,2025-12-13,-,jane
hal01,2025-12-13,-,zoey
bg06,2025-12-13,2025-12-13,nina
tw301,2025-12-13,-,sara
bg03,2025-12-13,-,matt
bg09,2025-12-13,2025-12-13,alex
eld01,2025-12-13,-,emil
bg01,2025-12-13,-,lbro
smo01,2025-12-13,-,mark
bg02,2025-12-13,2025-12-26,abcd
bg08,2025-12-15,2025-12-15,liam
bg08,2025-12-20,2025-12-20,lbro
