CustomerID,SubscriptionType,StartDate,EndDate
abcd,Basic,2021-11-15,2026-01-01
lbro,Premium,2022-07-09,2026-07-09
jane,Basic,2023-02-01,2026-02-01
mark,Premium,2023-06-01,2026-06-01
sara,Basic,2024-01-15,2026-01-15
tomh,Premium,2023-09-20,2026-09-20
alex,Basic,2024-02-05,2026-02-05
emil,Premium,2024-06-01,2027-06-01
noah,Basic,2025-01-01,2026-01-01
luca,Premium,2024-03-12,2027-03-12
matt,Basic,2024-04-10,2026-04-10
oliv,Premium,2023-12-05,2026-12-05
nina,Basic,2024-07-01,2026-07-01
ryan,Premium,2022-08-15,2025-08-15
zoey,Basic,2025-02-01,2026-02-01
hugo,Premium,2024-01-20,2027-01-20
ella,Basic,2024-03-30,2026-03-30
liam,Premium,2023-05-18,2026-05-18
